obj_i,obj_j,cell_id,t_exit_i,t_enter_j,pet,severity
132,2,"(5, 14)",8.133333333333333,9.9,1.7666666666666675,moderate
2,53,"(5, 14)",10.166666666666666,12.0,1.833333333333334,moderate
2,53,"(5, 14)",10.166666666666666,12.166666666666666,2.0,moderate
8,132,"(4, 14)",6.6,8.033333333333333,1.4333333333333336,critical
8,132,"(4, 14)",6.6,8.166666666666666,1.5666666666666664,moderate
2,53,"(4, 14)",10.3,12.066666666666666,1.7666666666666657,moderate
2,53,"(4, 14)",10.3,12.3,2.0,moderate
268,353,"(4, 14)",15.766666666666667,17.633333333333333,1.8666666666666654,moderate
268,353,"(4, 14)",15.766666666666667,17.766666666666666,1.9999999999999982,moderate
250,315,"(25, 2)",8.133333333333333,9.9,1.7666666666666675,moderate
250,315,"(25, 2)",8.133333333333333,10.1,1.9666666666666668,moderate
3,115,"(24, 2)",0.4666666666666667,2.3333333333333335,1.8666666666666667,moderate
3,115,"(24, 2)",0.6333333333333333,2.3333333333333335,1.7000000000000002,moderate
3,115,"(24, 2)",1.0333333333333334,2.3333333333333335,1.3,critical
1621,1647,"(22, 9)",49.46666666666667,51.266666666666666,1.7999999999999972,moderate
1348,1399,"(21, 9)",39.0,40.56666666666667,1.56666666666667,moderate
1621,1647,"(21, 9)",49.6,51.53333333333333,1.93333333333333,moderate
977,1054,"(20, 9)",27.766666666666666,29.566666666666666,1.8000000000000007,moderate
660,813,"(20, 8)",20.966666666666665,22.766666666666666,1.8000000000000007,moderate
1621,1647,"(20, 8)",49.96666666666667,51.833333333333336,1.8666666666666671,moderate
5,192,"(19, 8)",4.433333333333334,4.566666666666666,0.13333333333333286,critical
5,204,"(19, 8)",4.433333333333334,4.8,0.36666666666666625,critical
192,204,"(19, 8)",4.7,4.8,0.09999999999999964,critical
1621,1647,"(19, 8)",50.2,52.03333333333333,1.8333333333333286,moderate
1348,1399,"(18, 8)",39.86666666666667,41.3,1.43333333333333,critical
1621,1647,"(18, 8)",50.266666666666666,52.233333333333334,1.9666666666666686,moderate
1621,1647,"(18, 8)",50.53333333333333,52.233333333333334,1.7000000000000028,moderate
779,879,"(17, 9)",23.466666666666665,24.7,1.2333333333333343,critical
879,941,"(17, 9)",24.8,25.7,0.8999999999999986,critical
1009,1029,"(11, 13)",27.733333333333334,29.3,1.5666666666666664,moderate
8,132,"(20, 5)",2.2666666666666666,3.7,1.4333333333333336,critical
132,133,"(20, 5)",4.0,5.166666666666667,1.166666666666667,critical
133,53,"(20, 5)",5.866666666666666,7.866666666666666,2.0,moderate
