event_id,pet,frame,track_a,track_b,conflict_type,world_traj_i,world_traj_j
30,0.06664993649065509,,69,69,CELL_I_4,"[(0.2999247142079477, 730910.5625, 222006.046875)]","[(0.3665746506986028, 730910.5, 222006.015625), (0.3998996189439303, 730910.5625, 222006.046875)]"
31,0.5331994919252405,,69,69,CELL_I_4,"[(0.2999247142079477, 730910.5625, 222006.046875)]","[(0.8331242061331882, 730910.5, 222006.03125)]"
32,0.4332245871892579,,69,69,CELL_I_4,"[(0.3665746506986028, 730910.5, 222006.015625), (0.3998996189439303, 730910.5625, 222006.046875)]","[(0.8331242061331882, 730910.5, 222006.03125)]"
33,0.36657465069860273,,20,21,CELL_M_6,"[(0.0, 730910.75, 222006.234375), (0.033324968245327526, 730910.75, 222006.21875)]","[(0.3998996189439303, 730910.75, 222006.28125), (0.4332245871892578, 730910.75, 222006.28125), (0.4665495554345854, 730910.75, 222006.265625), (0.49987452367991286, 730910.75, 222006.28125), (0.5331994919252404, 730910.75, 222006.265625), (0.5665244601705679, 730910.75, 222006.28125), (0.5998494284158954, 730910.6875, 222006.265625)]"
34,0.36657465069860273,,20,58,CELL_M_6,"[(0.0, 730910.75, 222006.234375), (0.033324968245327526, 730910.75, 222006.21875)]","[(0.3998996189439303, 730910.8125, 222006.28125), (0.4332245871892578, 730910.75, 222006.28125), (0.4665495554345854, 730910.75, 222006.265625), (0.49987452367991286, 730910.75, 222006.265625), (0.5331994919252404, 730910.75, 222006.265625), (0.5665244601705679, 730910.75, 222006.265625), (0.5998494284158954, 730910.75, 222006.25)]"
35,0.13329987298131007,,25,62,CELL_C_2,"[(0.2999247142079477, 730910.0, 222005.703125), (0.33324968245327524, 730910.0625, 222005.71875), (0.3665746506986028, 730909.9375, 222005.703125)]","[(0.49987452367991286, 730909.9375, 222005.6875)]"
36,0.09997490473598258,,62,62,CELL_C_2,"[(0.33324968245327524, 730910.0625, 222005.71875), (0.3665746506986028, 730910.0, 222005.703125), (0.3998996189439303, 730909.9375, 222005.6875)]","[(0.49987452367991286, 730909.9375, 222005.6875)]"
37,0.03332496824532749,,41,25,CELL_C_1,"[(0.0, 730909.875, 222005.6875), (0.033324968245327526, 730909.875, 222005.6875)]","[(0.3998996189439303, 730910.0, 222005.6875), (0.4332245871892578, 730910.0, 222005.6875), (0.4665495554345854, 730909.9375, 222005.6875), (0.49987452367991286, 730910.0, 222005.703125), (0.5331994919252404, 730910.0, 222005.703125), (0.5665244601705679, 730909.9375, 222005.6875), (0.5998494284158954, 730910.0, 222005.703125), (0.633174396661223, 730910.0, 222005.703125), (0.6664993649065505, 730910.0, 222005.703125), (0.699824333151878, 730909.9375, 222005.671875), (0.7331493013972056, 730909.9375, 222005.6875), (0.7664742696425331, 730910.0, 222005.6875), (0.7997992378878606, 730909.9375, 222005.6875), (0.8331242061331882, 730910.0, 222005.6875), (0.8664491743785157, 730909.875, 222005.671875), (0.8997741426238431, 730909.875, 222005.671875), (0.9330991108691707, 730910.0, 222005.6875), (0.9664240791144982, 730910.0, 222005.6875)]"
38,0.06664993649065504,,41,62,CELL_C_1,"[(0.0, 730909.875, 222005.6875), (0.033324968245327526, 730909.875, 222005.6875)]","[(0.4332245871892578, 730909.9375, 222005.6875), (0.4665495554345854, 730910.0, 222005.703125)]"
39,0.16662484122663762,,41,62,CELL_C_1,"[(0.0, 730909.875, 222005.6875), (0.033324968245327526, 730909.875, 222005.6875)]","[(0.5331994919252404, 730909.9375, 222005.703125), (0.5665244601705679, 730910.0, 222005.703125), (0.5998494284158954, 730910.0, 222005.6875)]"
40,0.5998494284158955,,41,90,CELL_C_1,"[(0.0, 730909.875, 222005.6875), (0.033324968245327526, 730909.875, 222005.6875)]","[(0.9664240791144982, 730909.9375, 222005.6875)]"
41,0.06664993649065504,,62,62,CELL_C_1,"[(0.4332245871892578, 730909.9375, 222005.6875), (0.4665495554345854, 730910.0, 222005.703125)]","[(0.5331994919252404, 730909.9375, 222005.703125), (0.5665244601705679, 730910.0, 222005.703125), (0.5998494284158954, 730910.0, 222005.6875)]"
42,0.49987452367991286,,62,90,CELL_C_1,"[(0.4332245871892578, 730909.9375, 222005.6875), (0.4665495554345854, 730910.0, 222005.703125)]","[(0.9664240791144982, 730909.9375, 222005.6875)]"
43,0.36657465069860284,,62,90,CELL_C_1,"[(0.5331994919252404, 730909.9375, 222005.703125), (0.5665244601705679, 730910.0, 222005.703125), (0.5998494284158954, 730910.0, 222005.6875)]","[(0.9664240791144982, 730909.9375, 222005.6875)]"
44,0.13329987298131007,,70,25,CELL_C_1,"[(0.19994980947196514, 730909.9375, 222005.703125), (0.2332747777172927, 730909.875, 222005.703125), (0.2665997459626202, 730909.875, 222005.703125)]","[(0.3998996189439303, 730910.0, 222005.6875), (0.4332245871892578, 730910.0, 222005.6875), (0.4665495554345854, 730909.9375, 222005.6875), (0.49987452367991286, 730910.0, 222005.703125), (0.5331994919252404, 730910.0, 222005.703125), (0.5665244601705679, 730909.9375, 222005.6875), (0.5998494284158954, 730910.0, 222005.703125), (0.633174396661223, 730910.0, 222005.703125), (0.6664993649065505, 730910.0, 222005.703125), (0.699824333151878, 730909.9375, 222005.671875), (0.7331493013972056, 730909.9375, 222005.6875), (0.7664742696425331, 730910.0, 222005.6875), (0.7997992378878606, 730909.9375, 222005.6875), (0.8331242061331882, 730910.0, 222005.6875), (0.8664491743785157, 730909.875, 222005.671875), (0.8997741426238431, 730909.875, 222005.671875), (0.9330991108691707, 730910.0, 222005.6875), (0.9664240791144982, 730910.0, 222005.6875)]"
45,0.16662484122663762,,70,62,CELL_C_1,"[(0.19994980947196514, 730909.9375, 222005.703125), (0.2332747777172927, 730909.875, 222005.703125), (0.2665997459626202, 730909.875, 222005.703125)]","[(0.4332245871892578, 730909.9375, 222005.6875), (0.4665495554345854, 730910.0, 222005.703125)]"
46,0.2665997459626202,,70,62,CELL_C_1,"[(0.19994980947196514, 730909.9375, 222005.703125), (0.2332747777172927, 730909.875, 222005.703125), (0.2665997459626202, 730909.875, 222005.703125)]","[(0.5331994919252404, 730909.9375, 222005.703125), (0.5665244601705679, 730910.0, 222005.703125), (0.5998494284158954, 730910.0, 222005.6875)]"
47,0.6998243331518781,,70,90,CELL_C_1,"[(0.19994980947196514, 730909.9375, 222005.703125), (0.2332747777172927, 730909.875, 222005.703125), (0.2665997459626202, 730909.875, 222005.703125)]","[(0.9664240791144982, 730909.9375, 222005.6875)]"
