idx,track_a,track_b,pet,frame,angle_fl,angle_world,consist_a,consist_b,max_gap_40,max_jump,n_a,n_b,max_p95,max_p99,max_frac,decel_max,pred_min_sep,pred_t_min,verdict,is_N
34,20000,73001,0.5331994919252404,287,,,,35.6112310617665,36,50.03947802268006,272,261,4.320821111269852,6.492549229933367,0.003690036900369,0.1146065645268905,,,Y,0
35,91000,20000,0.2665997459626202,172,17.375922695280366,,55.56207769634322,15.200683702773448,12,50.03947802268006,60,272,3.565425472679787,9.339925189861845,0.003690036900369,-0.0078634830018762,0.3395138801840738,27.0,Y,0
36,41000,21000,1.6329234440210487,59,1.1514834188121768,1.5901147360304009,11.743660852985338,21.87084177448097,3,60.155972935888656,102,296,6.265380799117707,22.85456424930801,0.0099009900990099,0.0036021965052729,3.359042433914726,0.0,N,1
37,52000,22000,1.999498094719652,113,,,,6.363165477400448,41,53.99946545849559,37,253,4.136300125106755,36.96359033359305,0.0294117647058823,-0.0038581678827405,,,N,1
38,22000,65006,0.0333249682453275,87,26.562479351984763,34.99532599928335,25.939572900950253,51.30813573329311,18,51.30923919129504,253,13,25.12689371939396,46.07277009691485,0.0833333333333333,0.0076717601762929,0.2500181378630269,0.0,Y,0
39,69000,22000,1.5995984757757211,103,,,,6.82233966909114,41,7.553919322731786,20,253,4.136300125106755,6.241978111700165,0.0,-0.0051000539516476,,,Y,0
40,22000,110000,1.332998729813101,268,159.27575495760044,,67.13076509208484,43.14389595745121,32,9.87687606819005,253,67,5.557013657220805,9.086046332584,0.0,-0.0114000379826177,,,Y,0
41,24000,26000,1.0330740156051532,62,0.4373765210202123,0.5829256160508862,21.12736247847152,23.30390520108463,5,60.69633777932363,223,197,5.597095087198268,52.40973150187919,0.0184331797235023,0.0036148863682056,0.9015676545318716,60.0,Y,0
42,32000,24000,0.5665244601705679,38,4.96379392419334,6.843622714293844,9.356704122638147,18.381249416501667,6,53.01688179550583,259,223,3.95911348248268,43.01709413176555,0.0184331797235023,0.0112767164897167,0.6832763296120326,60.0,N,1
43,24000,41000,1.0330740156051532,81,0.9074650741989104,1.2050403371894802,19.38760395638685,30.865423991283546,2,60.155972935888656,223,102,6.265380799117707,43.01709413176555,0.0184331797235023,0.0068026971364959,0.820754786782511,60.0,Y,0
44,24000,59002,1.3663236980584286,56,12.288905962076171,14.346604130972374,19.751418741184285,,11,58.29192136226902,223,19,20.40804616649096,50.7151463231134,0.0666666666666666,-0.0038950753464693,,,N,1
45,24000,92001,0.8997741426238431,92,165.0920215866156,157.66926676527171,16.304874117141747,,20,51.086619843397095,223,3,48.69781076597389,50.60885802791245,0.5,0.0077025687772758,,,N,1
46,24000,92003,0.9330991108691707,96,2.726292820613992,3.818861178213659,14.803739504808885,23.524220459577947,20,62.80712911056902,223,87,3.95911348248268,43.01709413176555,0.0184331797235023,0.002685974556518,0.8859220635437414,60.0,N,1
47,24000,94000,0.0333249682453275,117,159.3808821885628,,15.48545045333936,59.8600322960536,14,47.86323456864893,223,65,9.722288817854722,43.01709413176555,0.0526315789473684,0.0026721502859811,0.3499117279878553,0.0,Y,0
48,95000,24000,1.766223317002359,181,3.0342947092759687,3.661282992342223,8.258316162689331,52.28376227901455,16,47.86323456864893,188,223,3.95911348248268,43.01709413176555,0.0184331797235023,-0.0054323714642292,2.029294386315572,0.0,N,1
49,97000,24000,0.5998494284158954,181,5.995198889601255,7.031105753313483,9.732164343470645,52.28376227901455,16,47.86323456864893,168,223,3.95911348248268,43.01709413176555,0.0184331797235023,-0.0023565516801129,1.0289209714698833,0.0,N,1
50,26000,25000,0.2332747777172927,213,97.88576276393968,72.11231965368947,28.36745523160229,16.075721364691397,20,60.69633777932363,197,279,5.597095087198268,52.40973150187919,0.0153846153846153,0.0002908957414565,0.4515413669986882,8.0,Y,0
