event_id,pet,frame,track_a,track_b,orig_track_a,seg_a,orig_track_b,seg_b,conflict_type,grid_cell,track_a_entry_frame,track_a_exit_frame,track_b_entry_frame,track_b_exit_frame,site,time_of_day_label,gate_a_entry,gate_b_entry,first_track_id,second_track_id,first_exit_frame,first_exit_time_sec,second_entry_frame,second_entry_time_sec,pet_frames,pet_s,occupancy_relation,run_id,pipeline_version,git_commit,config_hash,fps,pet_method,conflict_zone_coordinate_system,conflict_zone_half_size_m
152,1.6662484122663763,178,95000,60000,95,0,60,0,head_on,cell_O_1,178,209,110,128,GITI,unspecified,,West_Gate,60000,95000,128,4.266666666666667,178,5.933333333333334,50,1.6666666666666667,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
153,0.1999498094719651,118,71001,80002,71,1,80,2,other,cell_D_3,100,112,118,148,GITI,unspecified,SouthWest_Gate,,71001,80002,112,3.733333333333333,118,3.933333333333333,6,0.2,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
154,2.6993224278715293,95,72001,79000,72,1,79,0,crossing,cell_N_1,14,14,95,119,GITI,unspecified,,,72001,79000,14,0.4666666666666667,95,3.1666666666666665,81,2.7,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
155,1.0663989838504808,85,76000,73001,76,0,73,1,side_swipe,cell_D_2,85,122,19,53,GITI,unspecified,,,73001,76000,53,1.7666666666666666,85,2.833333333333333,32,1.0666666666666669,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
156,0.2999247142079477,240,77001,117000,77,1,117,0,other,cell_J_5,230,231,240,270,GITI,unspecified,,,77001,117000,231,7.7,240,8.0,9,0.3,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
157,1.0663989838504808,110,79000,95000,79,0,95,0,other,cell_O_1,63,78,110,128,GITI,unspecified,,,79000,95000,78,2.6,110,3.6666666666666665,32,1.0666666666666669,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
158,0.9997490473598256,121,92001,81000,92,1,81,0,other,cell_M_1,121,139,89,91,GITI,unspecified,,West_Gate,81000,92001,91,3.033333333333333,121,4.033333333333333,30,1.0,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
159,0.2665997459626202,193,92003,81000,92,3,81,0,crossing,cell_N_1,193,217,172,185,GITI,unspecified,,West_Gate,81000,92003,185,6.166666666666667,193,6.433333333333334,8,0.2666666666666666,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
160,1.0663989838504808,151,94000,81000,94,0,81,0,other,cell_M_1,151,174,117,119,GITI,unspecified,,West_Gate,81000,94000,119,3.966666666666667,151,5.033333333333333,32,1.0666666666666669,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
161,0.3998996189439303,131,94000,92003,94,0,92,3,head_on,cell_M_1,131,152,117,119,GITI,unspecified,,,92003,94000,119,3.966666666666667,131,4.366666666666666,12,0.4,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
