event_id,cell_id,obj_i,obj_j,t_exit_i,t_entry_j,PET
898,CELL_I_4,69,14,0.3998996189439303,2.2994228089275994,1.899523189983669
899,CELL_I_4,69,69,0.3998996189439303,0.8331242061331882,0.4332245871892579
900,CELL_I_4,69,69,0.3998996189439303,1.266348793322446,0.8664491743785157
901,CELL_I_4,69,93,0.3998996189439303,2.166122935946289,1.7662233170023587
902,CELL_I_4,69,93,0.3998996189439303,2.366072745418254,1.9661731264743239
903,CELL_I_4,69,112,0.3998996189439303,2.366072745418254,1.9661731264743239
904,CELL_I_4,69,116,0.3998996189439303,2.3993977136635816,1.9994980947196512
905,CELL_I_4,69,10,1.1996988568317908,1.7995482852476863,0.5998494284158955
906,CELL_I_4,69,14,1.1996988568317908,2.2994228089275994,1.0997239520958086
907,CELL_I_4,69,69,1.1996988568317908,1.266348793322446,0.0666499364906552
908,CELL_I_4,69,93,1.1996988568317908,2.166122935946289,0.9664240791144982
909,CELL_I_4,69,93,1.1996988568317908,2.366072745418254,1.1663738885864634
910,CELL_I_4,69,107,1.1996988568317908,3.032572110324805,1.832873253493014
911,CELL_I_4,69,112,1.1996988568317908,2.366072745418254,1.1663738885864634
912,CELL_I_4,69,114,1.1996988568317908,3.0658970785701323,1.8661982217383415
913,CELL_I_4,69,116,1.1996988568317908,2.3993977136635816,1.1996988568317908
914,CELL_I_4,69,116,1.1996988568317908,2.732647396116857,1.5329485392850664
915,CELL_I_4,69,10,1.2996737615677734,1.7995482852476863,0.4998745236799129
916,CELL_I_4,69,14,1.2996737615677734,2.2994228089275994,0.9997490473598261
917,CELL_I_4,69,93,1.2996737615677734,2.166122935946289,0.8664491743785157
918,CELL_I_4,69,93,1.2996737615677734,2.366072745418254,1.0663989838504808
919,CELL_I_4,69,107,1.2996737615677734,3.032572110324805,1.7328983487570315
920,CELL_I_4,69,112,1.2996737615677734,2.366072745418254,1.0663989838504808
921,CELL_I_4,69,114,1.2996737615677734,3.0658970785701323,1.766223317002359
922,CELL_I_4,69,116,1.2996737615677734,2.3993977136635816,1.0997239520958082
923,CELL_I_4,69,116,1.2996737615677734,2.732647396116857,1.4329736345490838
924,CELL_I_4,93,14,2.199447904191617,2.2994228089275994,0.09997490473598258
925,CELL_I_4,93,93,2.199447904191617,2.366072745418254,0.16662484122663734
926,CELL_I_4,93,107,2.199447904191617,3.032572110324805,0.833124206133188
927,CELL_I_4,93,112,2.199447904191617,2.366072745418254,0.16662484122663734
928,CELL_I_4,93,114,2.199447904191617,3.0658970785701323,0.8664491743785154
929,CELL_I_4,93,116,2.199447904191617,2.3993977136635816,0.19994980947196472
930,CELL_I_4,93,116,2.199447904191617,2.732647396116857,0.5331994919252403
931,CELL_I_4,93,107,2.499372618399564,3.032572110324805,0.5331994919252407
932,CELL_I_4,93,114,2.499372618399564,3.0658970785701323,0.5665244601705681
933,CELL_I_4,93,116,2.499372618399564,2.732647396116857,0.233274777717293
934,CELL_I_4,112,107,2.665997459626202,3.032572110324805,0.36657465069860296
935,CELL_I_4,112,114,2.665997459626202,3.0658970785701323,0.39989961894393034
936,CELL_I_4,112,116,2.665997459626202,2.732647396116857,0.0666499364906552
937,CELL_I_4,116,107,2.665997459626202,3.032572110324805,0.36657465069860296
938,CELL_I_4,116,114,2.665997459626202,3.0658970785701323,0.39989961894393034
939,CELL_I_4,116,116,2.665997459626202,2.732647396116857,0.0666499364906552
940,CELL_I_4,116,107,2.732647396116857,3.032572110324805,0.29992471420794775
941,CELL_I_4,116,114,2.732647396116857,3.0658970785701323,0.33324968245327513
942,CELL_I_4,125,90,7.964667410633278,9.364316076937035,1.399648666303757
943,CELL_J_4,5,16,7.764717601161314,7.997992378878606,0.2332747777172921
944,CELL_J_4,5,125,7.764717601161314,7.997992378878606,0.2332747777172921
945,CELL_J_4,5,286,7.764717601161314,8.564516839049174,0.7997992378878607
946,CELL_J_4,5,295,7.764717601161314,9.231016203955724,1.46629860279441
947,CELL_J_4,5,295,7.764717601161314,9.330991108691707,1.5662735075303935
948,CELL_J_4,5,295,7.764717601161314,9.664240791144982,1.8995231899836682
949,CELL_J_4,10,114,2.5993475231355467,2.732647396116857,0.1332998729813104
950,CELL_J_4,10,114,2.5993475231355467,2.8992722373434945,0.29992471420794775
951,CELL_J_4,14,14,2.2660978406822716,2.3993977136635816,0.13329987298130996
952,CELL_J_4,14,107,2.2660978406822716,2.3993977136635816,0.13329987298130996
953,CELL_J_4,14,107,2.2660978406822716,2.532697586644892,0.26659974596262037
954,CELL_J_4,14,107,2.2660978406822716,2.5993475231355467,0.33324968245327513
955,CELL_J_4,14,114,2.2660978406822716,2.532697586644892,0.26659974596262037
956,CELL_J_4,14,114,2.2660978406822716,2.732647396116857,0.46654955543458554
957,CELL_J_4,14,114,2.2660978406822716,2.8992722373434945,0.6331743966612229
958,CELL_J_4,14,107,2.4327226819089094,2.532697586644892,0.09997490473598258
959,CELL_J_4,14,107,2.4327226819089094,2.5993475231355467,0.16662484122663734
960,CELL_J_4,14,114,2.4327226819089094,2.532697586644892,0.09997490473598258
961,CELL_J_4,14,114,2.4327226819089094,2.732647396116857,0.29992471420794775
962,CELL_J_4,14,114,2.4327226819089094,2.8992722373434945,0.4665495554345851
963,CELL_J_4,16,286,8.131292251859916,8.564516839049174,0.43322458718925816
964,CELL_J_4,16,295,8.131292251859916,9.231016203955724,1.0997239520958075
965,CELL_J_4,16,295,8.131292251859916,9.330991108691707,1.199698856831791
966,CELL_J_4,16,295,8.131292251859916,9.664240791144982,1.5329485392850657
967,CELL_J_4,16,295,8.131292251859916,9.897515568862275,1.7662233170023587
968,CELL_J_4,18,10,0.7997992378878606,2.2327728724369442,1.4329736345490836
969,CELL_J_4,18,14,0.7997992378878606,1.766223317002359,0.9664240791144983
970,CELL_J_4,18,14,0.7997992378878606,2.3993977136635816,1.599598475775721
971,CELL_J_4,18,93,0.7997992378878606,1.7328983487570313,0.9330991108691707
972,CELL_J_4,18,93,0.7997992378878606,2.2327728724369442,1.4329736345490836
973,CELL_J_4,18,107,0.7997992378878606,2.3993977136635816,1.599598475775721
974,CELL_J_4,18,107,0.7997992378878606,2.532697586644892,1.7328983487570313
975,CELL_J_4,18,107,0.7997992378878606,2.5993475231355467,1.799548285247686
976,CELL_J_4,18,112,0.7997992378878606,2.166122935946289,1.3663236980584283
977,CELL_J_4,18,114,0.7997992378878606,2.532697586644892,1.7328983487570313
978,CELL_J_4,18,114,0.7997992378878606,2.732647396116857,1.9328481582289965
979,CELL_J_4,93,10,2.1327979677009616,2.2327728724369442,0.09997490473598258
980,CELL_J_4,93,14,2.1327979677009616,2.3993977136635816,0.2665997459626199
981,CELL_J_4,93,93,2.1327979677009616,2.2327728724369442,0.09997490473598258
982,CELL_J_4,93,107,2.1327979677009616,2.3993977136635816,0.2665997459626199
983,CELL_J_4,93,107,2.1327979677009616,2.532697586644892,0.39989961894393034
984,CELL_J_4,93,107,2.1327979677009616,2.5993475231355467,0.4665495554345851
